Height	Theta	w	u	v	RH	theta_e	P	T
82.8	294.869	11.894	4.143	7.176	74.974	328.169	989.6	293.989
86.933	294.879	11.872	4.35	7.534	74.934	328.116	989.133	293.96
91.0	294.889	11.863	4.557	7.892	74.99	328.107	988.66	293.929
95.067	294.899	11.85	4.76	8.245	75.009	328.081	988.193	293.899
99.133	294.909	11.821	4.963	8.597	74.929	328.01	987.733	293.87
103.2	294.918	11.807	5.163	8.943	74.945	327.983	987.267	293.84
107.267	294.928	11.793	5.363	9.29	74.962	327.956	986.8	293.81
111.4	294.938	11.784	5.56	9.63	75.011	327.944	986.327	293.78
115.667	294.948	11.77	5.75	9.959	75.033	327.918	985.84	293.748
120.067	294.959	11.751	5.937	10.283	75.03	327.879	985.333	293.716
124.6	294.97	11.738	6.12	10.6	75.064	327.855	984.807	293.682
129.267	294.981	11.725	6.297	10.906	75.101	327.832	984.273	293.647
134.0	294.992	11.716	6.47	11.206	75.17	327.825	983.733	293.613
138.867	295.004	11.713	6.64	11.501	75.273	327.832	983.187	293.578
143.933	295.016	11.71	6.803	11.784	75.382	327.841	982.62	293.541
149.133	295.029	11.712	6.963	12.061	75.535	327.866	982.02	293.503
154.533	295.042	11.705	7.12	12.332	75.63	327.863	981.4	293.463
160.067	295.055	11.692	7.27	12.592	75.693	327.846	980.773	293.422
165.733	295.069	11.68	7.42	12.852	75.76	327.831	980.14	293.382
171.467	295.083	11.683	7.563	13.1	75.927	327.859	979.493	293.34
177.2	295.096	11.676	7.707	13.348	76.033	327.859	978.84	293.298
182.867	295.11	11.664	7.843	13.585	76.105	327.843	978.193	293.256
222.929	295.206	11.64	7.942	13.756	76.982	327.913	973.74	292.969
228.157	295.219	11.627	8.057	13.955	77.038	327.894	973.151	292.931
233.386	295.232	11.617	8.169	14.15	77.107	327.881	972.561	292.893
238.643	295.244	11.608	8.279	14.34	77.19	327.874	971.971	292.855
243.914	295.257	11.597	8.386	14.526	77.258	327.861	971.38	292.816
249.186	295.27	11.588	8.491	14.708	77.335	327.851	970.786	292.778
254.471	295.282	11.578	8.594	14.886	77.412	327.841	970.191	292.739
259.757	295.295	11.569	8.694	15.059	77.496	327.834	969.599	292.701
265.057	295.308	11.561	8.791	15.227	77.581	327.827	969.004	292.662
270.371	295.321	11.553	8.886	15.391	77.672	327.823	968.409	292.623
275.714	295.334	11.545	8.978	15.55	77.765	327.819	967.809	292.584
281.086	295.346	11.538	9.067	15.705	77.858	327.816	967.207	292.545
286.471	295.359	11.531	9.154	15.854	77.96	327.815	966.603	292.505
291.886	295.373	11.524	9.238	16.0	78.055	327.812	965.999	292.466
297.314	295.386	11.517	9.319	16.141	78.159	327.812	965.391	292.426
302.771	295.399	11.51	9.399	16.279	78.257	327.81	964.779	292.386
308.257	295.412	11.502	9.476	16.412	78.35	327.804	964.163	292.346
313.771	295.425	11.491	9.551	16.542	78.428	327.792	963.547	292.306
319.329	295.439	11.485	9.624	16.669	78.535	327.793	962.929	292.265
324.9	295.452	11.478	9.694	16.791	78.645	327.794	962.306	292.225
330.5	295.466	11.47	9.764	16.911	78.741	327.788	961.68	292.184
336.114	295.479	11.463	9.831	17.027	78.851	327.789	961.053	292.143
341.729	295.493	11.457	9.896	17.14	78.961	327.79	960.427	292.102
347.343	295.506	11.452	9.959	17.25	79.078	327.793	959.801	292.061
352.943	295.52	11.445	10.021	17.358	79.187	327.794	959.179	292.02
358.557	295.533	11.439	10.081	17.462	79.297	327.795	958.556	291.979
364.171	295.547	11.432	10.14	17.563	79.408	327.795	957.931	291.938
369.786	295.56	11.426	10.196	17.661	79.519	327.796	957.306	291.897
375.4	295.574	11.418	10.251	17.756	79.622	327.793	956.683	291.856
380.986	295.587	11.411	10.305	17.849	79.726	327.791	956.061	291.815
386.571	295.601	11.404	10.357	17.939	79.834	327.791	955.443	291.774
392.157	295.614	11.397	10.407	18.026	79.943	327.79	954.824	291.733
397.757	295.628	11.39	10.456	18.11	80.045	327.787	954.204	291.693
403.357	295.641	11.385	10.502	18.19	80.17	327.793	953.581	291.651
408.971	295.655	11.376	10.548	18.269	80.266	327.787	952.959	291.61
414.586	295.668	11.369	10.591	18.345	80.37	327.784	952.337	291.569
420.214	295.682	11.362	10.634	18.418	80.482	327.784	951.716	291.528
425.843	295.695	11.353	10.674	18.488	80.573	327.775	951.091	291.487
431.471	295.709	11.343	10.714	18.556	80.663	327.767	950.469	291.446
437.071	295.722	11.332	10.751	18.622	80.746	327.754	949.849	291.405
442.657	295.736	11.32	10.788	18.685	80.82	327.739	949.233	291.364
448.229	295.749	11.31	10.824	18.747	80.901	327.727	948.619	291.323
453.786	295.763	11.3	10.858	18.806	80.988	327.717	948.006	291.283
459.314	295.776	11.291	10.891	18.865	81.083	327.71	947.393	291.242
464.843	295.789	11.283	10.924	18.92	81.182	327.706	946.784	291.202
470.357	295.803	11.276	10.956	18.976	81.289	327.704	946.177	291.161
475.871	295.816	11.27	10.986	19.029	81.403	327.705	945.57	291.121
481.386	295.829	11.264	11.016	19.081	81.517	327.707	944.963	291.081
486.886	295.843	11.257	11.046	19.133	81.625	327.705	944.356	291.04
492.386	295.856	11.248	11.076	19.184	81.723	327.7	943.75	291.0
497.871	295.869	11.243	11.104	19.233	81.842	327.703	943.147	290.96
503.357	295.882	11.237	11.133	19.283	81.954	327.704	942.546	290.92
508.843	295.896	11.232	11.161	19.331	82.079	327.709	941.944	290.88
514.357	295.909	11.227	11.189	19.379	82.196	327.712	941.341	290.84
519.886	295.922	11.222	11.216	19.426	82.322	327.717	940.734	290.799
525.443	295.936	11.218	11.244	19.474	82.456	327.725	940.124	290.758
531.029	295.949	11.213	11.271	19.523	82.583	327.731	939.514	290.718
536.629	295.963	11.207	11.299	19.57	82.703	327.733	938.901	290.677
542.257	295.976	11.202	11.326	19.617	82.825	327.736	938.286	290.635
547.914	295.99	11.195	11.352	19.662	82.941	327.735	937.667	290.594
553.6	296.004	11.192	11.379	19.708	83.085	327.747	937.047	290.553
559.3	296.017	11.188	11.405	19.754	83.224	327.755	936.424	290.511
565.014	296.031	11.183	11.431	19.799	83.355	327.76	935.801	290.469
570.729	296.045	11.179	11.456	19.843	83.495	327.769	935.177	290.427
576.457	296.059	11.174	11.481	19.886	83.627	327.774	934.553	290.385
582.186	296.073	11.17	11.506	19.93	83.765	327.782	933.927	290.343
587.929	296.086	11.168	11.531	19.972	83.917	327.794	933.301	290.301
593.686	296.1	11.163	11.555	20.014	84.054	327.801	932.676	290.259
599.471	296.114	11.161	11.579	20.055	84.212	327.816	932.049	290.217
605.271	296.128	11.158	11.602	20.096	84.364	327.828	931.419	290.175
611.114	296.142	11.157	11.625	20.135	84.525	327.843	930.784	290.132
616.986	296.157	11.154	11.647	20.173	84.681	327.856	930.146	290.089
622.886	296.171	11.15	11.669	20.212	84.831	327.866	929.504	290.046
628.8	296.185	11.145	11.691	20.249	84.966	327.87	928.863	290.003
634.7	296.199	11.139	11.712	20.286	85.101	327.873	928.221	289.959
640.6	296.214	11.133	11.734	20.323	85.235	327.877	927.584	289.916
646.471	296.228	11.129	11.754	20.359	85.382	327.885	926.949	289.874
652.329	296.242	11.126	11.775	20.395	85.536	327.897	926.314	289.831
658.171	296.256	11.122	11.796	20.431	85.682	327.905	925.681	289.788
664.0	296.27	11.116	11.816	20.467	85.814	327.907	925.05	289.745
669.814	296.284	11.111	11.837	20.503	85.957	327.914	924.421	289.703
675.629	296.298	11.107	11.858	20.538	86.101	327.921	923.791	289.66
681.457	296.312	11.104	11.879	20.576	86.258	327.933	923.161	289.617
687.3	296.326	11.101	11.901	20.613	86.417	327.945	922.529	289.574
693.157	296.341	11.099	11.923	20.651	86.576	327.958	921.896	289.531
699.014	296.355	11.096	11.945	20.689	86.735	327.97	921.264	289.488
704.871	296.369	11.093	11.967	20.728	86.895	327.982	920.633	289.445
710.729	296.383	11.09	11.989	20.766	87.054	327.994	920.003	289.403
716.557	296.397	11.085	12.012	20.806	87.198	328.0	919.374	289.36
722.371	296.411	11.081	12.036	20.846	87.35	328.009	918.747	289.317
728.171	296.425	11.078	12.059	20.887	87.502	328.018	918.123	289.275
733.957	296.439	11.072	12.084	20.929	87.637	328.021	917.501	289.232
739.729	296.453	11.068	12.109	20.974	87.785	328.029	916.881	289.19
745.486	296.467	11.064	12.135	21.018	87.933	328.037	916.263	289.148
751.257	296.481	11.059	12.161	21.064	88.082	328.045	915.643	289.105
757.014	296.495	11.055	12.189	21.112	88.231	328.052	915.024	289.063
762.786	296.509	11.05	12.218	21.162	88.372	328.057	914.406	289.021
768.571	296.523	11.045	12.248	21.214	88.513	328.062	913.787	288.979
774.386	296.537	11.039	12.279	21.267	88.649	328.064	913.163	288.936
780.214	296.551	11.034	12.311	21.324	88.794	328.069	912.537	288.893
786.043	296.565	11.027	12.345	21.382	88.925	328.068	911.911	288.85
791.857	296.579	11.021	12.38	21.443	89.063	328.071	911.289	288.807
797.643	296.593	11.016	12.416	21.506	89.212	328.078	910.67	288.765
803.414	296.607	11.011	12.455	21.573	89.354	328.082	910.054	288.723
809.157	296.621	11.006	12.494	21.641	89.503	328.089	909.439	288.68
814.9	296.635	11.0	12.536	21.712	89.638	328.09	908.826	288.638
820.643	296.649	10.993	12.579	21.787	89.77	328.091	908.213	288.596
826.386	296.663	10.988	12.623	21.863	89.91	328.094	907.6	288.554
832.143	296.677	10.982	12.669	21.944	90.051	328.097	906.986	288.512
837.914	296.691	10.978	12.717	22.027	90.201	328.104	906.371	288.469
843.714	296.705	10.972	12.766	22.112	90.345	328.108	905.753	288.427
849.543	296.719	10.967	12.816	22.199	90.49	328.112	905.131	288.384
855.4	296.733	10.959	12.869	22.289	90.622	328.11	904.507	288.341
861.271	296.747	10.954	12.922	22.382	90.767	328.114	903.883	288.298
867.157	296.761	10.946	12.977	22.477	90.899	328.112	903.256	288.254
873.043	296.776	10.939	13.032	22.572	91.031	328.11	902.629	288.211
878.929	296.79	10.931	13.089	22.67	91.163	328.108	902.003	288.168
884.829	296.804	10.925	13.146	22.77	91.308	328.111	901.377	288.124
890.743	296.819	10.919	13.204	22.87	91.454	328.114	900.75	288.081
896.686	296.833	10.913	13.263	22.972	91.602	328.117	900.12	288.037
902.629	296.847	10.906	13.321	23.073	91.737	328.115	899.487	287.993
908.571	296.862	10.898	13.38	23.175	91.871	328.113	898.857	287.949
914.486	296.876	10.89	13.439	23.278	92.001	328.11	898.23	287.906
920.343	296.89	10.883	13.498	23.379	92.139	328.109	897.609	287.863
926.157	296.904	10.875	13.557	23.482	92.266	328.106	896.996	287.82
931.9	296.918	10.867	13.616	23.583	92.391	328.102	896.39	287.778
937.6	296.932	10.86	13.674	23.683	92.516	328.098	895.787	287.736
943.271	296.946	10.853	13.731	23.784	92.647	328.097	895.189	287.694
948.9	296.959	10.846	13.789	23.883	92.779	328.096	894.591	287.653
954.5	296.973	10.84	13.846	23.981	92.917	328.098	894.001	287.612
960.057	296.986	10.831	13.901	24.078	93.029	328.091	893.416	287.571
965.586	297.0	10.823	13.957	24.174	93.149	328.086	892.833	287.53
