Height	Theta	w	u	v	RH	theta_e	P	T
7.226	294.686	12.296	0.0	0.734	75.256	329.075	999.129	294.613
22.289	294.686	12.188	0.0	2.236	75.145	328.773	997.397	294.467
38.624	294.687	12.07	0.0	3.863	75.022	328.447	995.521	294.309
56.337	294.688	11.944	0.0	5.624	74.886	328.096	993.49	294.138
75.543	294.688	11.808	0.0	7.531	74.736	327.718	991.292	293.952
96.365	294.689	11.68	0.0	9.603	74.684	327.363	988.912	293.751
118.938	294.689	11.558	0.0	11.722	74.731	327.03	986.338	293.533
143.406	294.69	11.472	0.0	13.519	75.078	326.805	983.553	293.296
169.928	294.691	11.398	0.0	14.998	75.583	326.619	980.541	293.04
198.671	294.692	11.322	0.0	15.759	76.156	326.427	977.285	292.763
229.818	294.693	11.239	0.0	16.121	76.773	326.217	973.767	292.462
263.563	294.694	11.124	0.0	17.463	77.272	325.914	969.966	292.136
300.116	294.695	11.014	0.0	18.661	77.92	325.632	965.862	291.783
339.706	294.696	10.897	0.0	19.69	78.629	325.329	961.432	291.401
382.574	294.697	10.779	0.0	20.59	79.466	325.027	956.653	290.988
428.984	294.699	10.645	0.0	21.351	80.331	324.681	951.5	290.54
479.214	294.7	10.488	0.0	21.973	81.18	324.272	945.948	290.056
533.567	294.702	10.349	0.0	22.531	82.337	323.918	939.968	289.532
592.367	294.704	10.214	0.0	23.064	83.726	323.58	933.532	288.966
655.962	294.706	10.077	0.0	23.544	85.328	323.24	926.61	288.354
724.721	294.708	9.931	0.0	24.049	87.107	322.878	919.171	287.692
799.038	294.71	9.759	0.0	24.781	88.938	322.442	911.184	286.977
879.332	294.712	9.563	0.0	26.069	90.852	321.94	902.615	286.206
966.049	294.715	9.34	0.0	27.791	92.829	321.361	893.431	285.373
1059.659	294.718	9.071	0.0	29.534	94.684	320.649	883.599	284.474
1160.659	294.721	8.755	0.0	31.201	96.387	319.801	873.085	283.505
1269.622	295.343	8.606	0.0	32.353	96.405	320.071	861.856	283.055
1387.167	296.016	8.192	0.0	32.697	93.528	319.604	849.879	282.567
1513.913	296.744	7.749	0.0	32.6	90.322	319.108	837.125	282.04
1650.519	297.53	7.331	0.0	31.172	87.404	318.747	823.564	281.47
1797.708	298.38	7.08	0.0	29.17	86.506	318.949	809.164	280.854
1956.24	299.297	6.806	0.0	27.763	85.421	319.154	793.9	280.188
2126.752	299.714	6.396	0.0	26.327	85.815	318.452	777.748	278.934
2309.827	300.161	5.928	0.0	25.394	85.509	317.601	760.693	277.586
2506.203	300.642	5.585	0.0	25.561	87.176	317.16	742.72	276.137
2716.74	301.159	5.387	0.0	24.595	91.638	317.197	723.818	274.581
2942.265	301.713	5.021	0.0	23.717	93.796	316.755	703.986	272.91
3183.601	302.308	4.645	0.0	24.553	96.121	316.322	683.23	271.119
3441.594	302.945	4.14	0.0	25.764	95.753	315.519	661.567	269.199
3717.102	303.626	3.617	0.0	28.371	94.485	314.696	639.02	267.143
4010.894	304.354	2.627	0.0	30.908	78.367	312.441	615.628	264.944
4323.705	305.132	1.521	0.0	31.17	52.447	309.841	591.443	262.595
4656.747	305.962	1.455	0.0	30.647	58.798	310.521	566.502	260.087
4969.985	306.744	1.21	0.0	27.366	57.02	310.576	543.75	257.714
5152.748	307.202	1.241	0.0	26.534	64.136	311.16	530.76	256.321
5240.321	310.45	1.793	0.0	27.356	78.452	316.205	524.688	258.181
5437.147	311.581	1.719	0.0	30.835	79.347	317.137	511.389	257.227
5797.222	313.102	1.504	0.0	34.239	79.8	318.024	487.719	255.004
6229.474	314.772	1.283	0.0	36.162	81.956	319.035	460.414	252.176
6688.658	316.273	1.077	0.0	38.444	86.155	319.913	432.755	248.931
7175.88	317.756	0.835	0.0	39.901	86.296	320.627	404.849	245.378
7692.458	319.239	0.597	0.0	40.975	82.688	321.333	376.815	241.518
8239.927	320.735	0.412	0.0	41.887	79.415	322.21	348.77	237.344
8819.907	322.06	0.258	0.0	42.688	73.412	323.004	320.836	232.704
9434.222	323.286	0.164	0.0	43.278	73.419	323.903	293.135	227.638
10085.108	324.351	0.099	0.0	42.496	75.399	324.734	265.788	222.083
10775.328	325.282	0.047	0.0	41.298	66.108	325.469	238.912	216.036
11510.057	327.494	0.02	0.0	41.929	52.939	327.578	212.621	210.376
12302.921	335.486	0.01	0.0	43.527	30.95	335.526	187.029	207.752
13198.665	366.021	0.006	0.0	27.37	5.049	366.05	162.236	217.632
14214.121	375.349	0.003	0.0	10.479	3.029	375.361	138.325	213.234
15357.498	394.014	0.0	0.0	23.604	0.0	394.014	115.367	212.521
16707.209	430.793	0.0	0.0	17.416	0.0	430.793	93.417	218.755
18341.748	458.19	0.0	0.0	13.719	0.0	458.19	72.52	216.421
20387.473	495.853	0.0	0.0	15.287	0.0	495.853	52.705	213.789
23221.131	562.739	0.0	0.0	7.783	0.0	562.739	33.989	214.032
