Height	Theta	w	u	v	RH	theta_e	P	T
7.226	294.686	12.296	0.0	0.734	75.256	329.075	999.129	294.613
22.289	294.704	12.201	0.0	2.236	75.145	328.831	997.397	294.485
38.624	294.724	12.098	0.0	3.863	75.022	328.566	995.521	294.346
56.337	294.745	11.988	0.0	5.624	74.886	328.281	993.49	294.195
75.543	294.768	11.868	0.0	7.531	74.736	327.973	991.292	294.032
96.365	294.793	11.757	0.0	9.603	74.684	327.694	988.912	293.855
118.938	294.82	11.653	0.0	11.722	74.731	327.442	986.338	293.663
143.406	294.85	11.588	0.0	13.519	75.078	327.306	983.553	293.455
169.928	294.882	11.537	0.0	14.998	75.583	327.216	980.541	293.23
198.671	294.916	11.484	0.0	15.759	76.156	327.127	977.285	292.985
229.818	294.954	11.426	0.0	16.121	76.773	327.028	973.767	292.721
263.563	294.994	11.337	0.0	17.463	77.272	326.844	969.966	292.434
300.116	295.038	11.256	0.0	18.661	77.92	326.689	965.862	292.123
339.706	295.086	11.169	0.0	19.69	78.629	326.523	961.432	291.787
382.574	295.137	11.084	0.0	20.59	79.466	326.368	956.653	291.422
428.984	295.193	10.984	0.0	21.351	80.331	326.179	951.5	291.028
479.214	295.254	10.864	0.0	21.973	81.18	325.936	945.948	290.601
533.567	295.319	10.764	0.0	22.531	82.337	325.763	939.968	290.139
592.367	295.39	10.671	0.0	23.064	83.726	325.62	933.532	289.639
655.962	295.467	10.579	0.0	23.544	85.328	325.491	926.61	289.098
724.721	295.549	10.481	0.0	24.049	87.107	325.353	919.171	288.514
799.038	295.639	10.359	0.0	24.781	88.938	325.154	911.184	287.882
879.332	295.736	10.214	0.0	26.069	90.852	324.902	902.615	287.2
966.049	295.84	10.044	0.0	27.791	92.829	324.583	893.431	286.463
1059.659	295.953	9.826	0.0	29.534	94.684	324.137	883.599	285.667
1160.659	296.075	9.559	0.0	31.201	96.387	323.558	873.085	284.808
1269.622	296.701	9.397	0.0	32.353	96.405	323.799	861.856	284.356
1387.167	297.377	8.947	0.0	32.697	93.528	323.226	849.879	283.866
1513.913	298.108	8.465	0.0	32.6	90.322	322.616	837.125	283.337
1650.519	298.898	8.01	0.0	31.172	87.404	322.15	823.564	282.764
1797.708	299.751	7.737	0.0	29.17	86.506	322.296	809.164	282.145
1956.24	300.673	7.439	0.0	27.763	85.421	322.44	793.9	281.476
2126.752	301.301	7.09	0.0	26.327	85.815	322.136	777.748	280.411
2309.827	301.976	6.671	0.0	25.394	85.509	321.667	760.693	279.264
2506.203	302.702	6.388	0.0	25.561	87.176	321.666	742.72	278.029
2716.74	303.483	6.272	0.0	24.595	91.638	322.233	723.818	276.699
2942.265	304.321	5.96	0.0	23.717	93.796	322.254	703.986	275.269
3183.601	305.221	5.631	0.0	24.553	96.121	322.285	683.23	273.731
3441.594	306.186	5.133	0.0	25.764	95.753	321.85	661.567	272.079
3717.102	307.219	4.597	0.0	28.371	94.485	321.352	639.02	270.305
4010.894	308.325	3.429	0.0	30.908	78.367	318.921	615.628	268.401
4323.705	309.507	2.044	0.0	31.17	52.447	315.852	591.443	266.361
4656.747	310.771	2.018	0.0	30.647	58.798	317.112	566.502	264.175
4969.985	311.964	1.729	0.0	27.366	57.02	317.456	543.75	262.1
5152.748	312.662	1.806	0.0	26.534	64.136	318.441	530.76	260.877
5240.321	315.95	2.599	0.0	27.356	78.452	324.324	524.688	262.755
5437.147	317.081	2.492	0.0	30.835	79.347	325.167	511.389	261.767
5797.222	318.602	2.185	0.0	34.239	79.8	325.776	487.719	259.484
6229.474	320.272	1.87	0.0	36.162	81.956	326.503	460.414	256.583
6688.658	321.773	1.577	0.0	38.444	86.155	327.114	432.755	253.26
7175.88	323.256	1.227	0.0	39.901	86.296	327.487	404.849	249.625
7692.458	324.739	0.883	0.0	40.975	82.688	327.842	376.815	245.679
8239.927	326.235	0.613	0.0	41.887	79.415	328.435	348.77	241.414
8819.907	327.56	0.387	0.0	42.688	73.412	328.98	320.836	236.678
9434.222	328.786	0.249	0.0	43.278	73.419	329.722	293.135	231.511
10085.108	329.851	0.152	0.0	42.496	75.399	330.44	265.788	225.849
10775.328	330.782	0.073	0.0	41.298	66.108	331.073	238.912	219.689
11510.057	332.994	0.032	0.0	41.929	52.939	333.127	212.621	213.909
12302.921	340.986	0.015	0.0	43.527	30.95	341.05	187.029	211.158
13198.665	371.521	0.009	0.0	27.37	5.049	371.563	162.236	220.902
14214.121	380.849	0.004	0.0	10.479	3.029	380.867	138.325	216.358
15357.498	399.514	0.0	0.0	23.604	0.0	399.514	115.367	215.487
16707.209	436.293	0.0	0.0	17.416	0.0	436.293	93.417	221.548
18341.748	463.69	0.0	0.0	13.719	0.0	463.69	72.52	219.019
20387.473	501.353	0.0	0.0	15.287	0.0	501.353	52.705	216.161
23221.131	568.239	0.0	0.0	7.783	0.0	568.239	33.989	216.124
