Height	Theta	w	u	v	RH	theta_e	P	T
7.226	294.686	12.296	0.0	0.734	75.256	329.075	999.129	294.613
22.289	294.723	12.215	0.0	2.236	75.145	328.891	997.397	294.503
38.624	294.762	12.128	0.0	3.863	75.022	328.692	995.521	294.385
56.337	294.805	12.033	0.0	5.624	74.886	328.477	993.49	294.256
75.543	294.852	11.931	0.0	7.531	74.736	328.243	991.292	294.116
96.365	294.903	11.839	0.0	9.603	74.684	328.045	988.912	293.965
118.938	294.957	11.755	0.0	11.722	74.731	327.876	986.338	293.8
143.406	295.015	11.71	0.0	13.519	75.078	327.831	983.553	293.621
169.928	295.08	11.682	0.0	14.998	75.583	327.844	980.541	293.428
198.671	295.149	11.654	0.0	15.759	76.156	327.862	977.285	293.217
229.818	295.224	11.623	0.0	16.121	76.773	327.88	973.767	292.99
263.563	295.305	11.563	0.0	17.463	77.272	327.82	969.966	292.743
300.116	295.393	11.513	0.0	18.661	77.92	327.802	965.862	292.476
339.706	295.489	11.459	0.0	19.69	78.629	327.781	961.432	292.187
382.574	295.592	11.409	0.0	20.59	79.466	327.783	956.653	291.873
428.984	295.703	11.347	0.0	21.351	80.331	327.761	951.5	291.533
479.214	295.825	11.266	0.0	21.973	81.18	327.699	945.948	291.165
533.567	295.956	11.21	0.0	22.531	82.337	327.723	939.968	290.767
592.367	296.097	11.164	0.0	23.064	83.726	327.792	933.532	290.335
655.962	296.251	11.123	0.0	23.544	85.328	327.894	926.61	289.869
724.721	296.417	11.08	0.0	24.049	87.107	328.005	919.171	289.365
799.038	296.597	11.015	0.0	24.781	88.938	328.071	911.184	288.819
879.332	296.792	10.93	0.0	26.069	90.852	328.1	902.615	288.229
966.049	297.002	10.822	0.0	27.791	92.829	328.079	893.431	287.592
1059.659	297.228	10.667	0.0	29.534	94.684	327.939	883.599	286.903
1160.659	297.473	10.462	0.0	31.201	96.387	327.673	873.085	286.159
1269.622	297.988	10.212	0.0	32.353	96.405	327.542	861.856	285.595
1387.167	298.666	9.724	0.0	32.697	93.528	326.858	849.879	285.103
1513.913	299.4	9.202	0.0	32.6	90.322	326.129	837.125	284.572
1650.519	300.193	8.709	0.0	31.172	87.404	325.554	823.564	283.997
1797.708	301.05	8.414	0.0	29.17	86.506	325.644	809.164	283.376
1956.24	301.975	8.093	0.0	27.763	85.421	325.723	793.9	282.705
2126.752	302.531	7.679	0.0	26.327	85.815	325.158	777.748	281.567
2309.827	302.983	7.54	0.0	25.394	90.509	325.329	760.693	280.206
2506.203	303.469	7.104	0.0	25.561	92.176	324.626	742.72	278.745
2716.74	303.99	6.842	0.0	24.595	96.638	324.496	723.818	277.174
2942.265	304.549	6.377	0.0	23.717	98.796	323.777	703.986	275.489
3183.601	305.149	5.778	0.0	24.553	99.0	322.673	683.23	273.682
3441.594	305.792	5.178	0.0	25.764	99.0	321.595	661.567	271.745
3717.102	306.48	4.593	0.0	28.371	99.0	320.6	639.02	269.671
4010.894	307.214	3.393	0.0	30.908	83.367	317.697	615.628	267.452
4323.705	307.999	2.027	0.0	31.17	57.447	314.29	591.443	265.082
4656.747	308.836	1.925	0.0	30.647	63.798	314.882	566.502	262.551
4969.985	309.627	1.608	0.0	27.366	62.02	314.731	543.75	260.159
5152.748	310.091	1.638	0.0	26.534	69.136	315.325	530.76	258.755
5240.321	313.45	2.344	0.0	27.356	83.452	320.993	524.688	260.7
5437.147	314.581	2.246	0.0	30.835	84.347	321.859	511.389	259.728
5797.222	316.102	1.967	0.0	34.239	84.8	322.553	487.719	257.474
6229.474	317.772	1.679	0.0	36.162	86.956	323.361	460.414	254.608
6688.658	319.273	1.409	0.0	38.444	91.155	324.042	432.755	251.322
7175.88	320.756	1.095	0.0	39.901	91.296	324.527	404.849	247.727
7692.458	322.239	0.788	0.0	40.975	87.688	325.005	376.815	243.821
8239.927	323.735	0.547	0.0	41.887	84.415	325.695	348.77	239.6
8819.907	325.06	0.346	0.0	42.688	78.412	326.327	320.836	234.91
9434.222	326.286	0.221	0.0	43.278	78.419	327.118	293.135	229.791
10085.108	327.351	0.135	0.0	42.496	80.399	327.871	265.788	224.179
10775.328	328.282	0.065	0.0	41.298	71.108	328.54	238.912	218.073
11510.057	330.494	0.029	0.0	41.929	57.939	330.613	212.621	212.35
12302.921	338.486	0.0	0.0	43.527	0.0	338.486	187.029	209.659
13198.665	369.021	0.0	0.0	27.37	0.0	369.021	162.236	219.472
14214.121	378.349	0.0	0.0	10.479	0.0	378.349	138.325	214.999
15357.498	397.014	0.0	0.0	23.604	0.0	397.014	115.367	214.205
16707.209	433.793	0.0	0.0	17.416	0.0	433.793	93.417	220.353
18341.748	461.19	0.0	0.0	13.719	0.0	461.19	72.52	217.92
20387.473	498.853	0.0	0.0	15.287	0.0	498.853	52.705	215.173
23221.131	565.739	0.0	0.0	7.783	0.0	565.739	33.989	215.277
