Height	Theta	w	u	v	RH	theta_e	P	T
7.226	294.686	11.479	0.0	0.734	70.256	326.671	999.129	294.613
22.289	294.723	11.403	0.0	2.236	70.145	326.5	997.397	294.503
38.624	294.762	11.32	0.0	3.863	70.022	326.314	995.521	294.385
56.337	294.805	11.23	0.0	5.624	69.886	326.113	993.49	294.256
75.543	294.852	11.133	0.0	7.531	69.736	325.896	991.292	294.116
96.365	294.903	11.046	0.0	9.603	69.684	325.714	988.912	293.965
118.938	294.957	10.968	0.0	11.722	69.731	325.564	986.338	293.8
143.406	295.015	10.93	0.0	13.519	70.078	325.537	983.553	293.621
169.928	295.08	10.91	0.0	14.998	70.583	325.568	980.541	293.428
198.671	295.149	10.889	0.0	15.759	71.156	325.607	977.285	293.217
229.818	295.224	10.866	0.0	16.121	71.773	325.648	973.767	292.99
263.563	295.305	10.815	0.0	17.463	72.272	325.612	969.966	292.743
300.116	295.393	10.774	0.0	18.661	72.92	325.62	965.862	292.476
339.706	295.489	10.73	0.0	19.69	73.629	325.626	961.432	292.187
382.574	295.592	10.691	0.0	20.59	74.466	325.658	956.653	291.873
428.984	295.703	10.64	0.0	21.351	75.331	325.668	951.5	291.533
479.214	295.825	10.572	0.0	21.973	76.18	325.64	945.948	291.165
533.567	295.956	10.529	0.0	22.531	77.337	325.7	939.968	290.767
592.367	296.097	10.497	0.0	23.064	78.726	325.807	933.532	290.335
655.962	296.251	10.472	0.0	23.544	80.328	325.95	926.61	289.869
724.721	296.417	10.444	0.0	24.049	82.107	326.104	919.171	289.365
799.038	296.597	10.395	0.0	24.781	83.938	326.216	911.184	288.819
879.332	296.792	10.329	0.0	26.069	85.852	326.294	902.615	288.229
966.049	297.002	10.239	0.0	27.791	87.829	326.325	893.431	287.592
1059.659	297.228	10.104	0.0	29.534	89.684	326.24	883.599	286.903
1160.659	297.473	9.92	0.0	31.201	91.387	326.033	873.085	286.159
1269.622	297.988	9.683	0.0	32.353	91.405	325.94	861.856	285.595
1387.167	298.666	9.204	0.0	32.697	88.528	325.286	849.879	285.103
1513.913	299.4	8.692	0.0	32.6	85.322	324.589	837.125	284.572
1650.519	300.193	8.211	0.0	31.172	82.404	324.047	823.564	283.997
1797.708	301.05	7.928	0.0	29.17	81.506	324.169	809.164	283.376
1956.24	301.975	7.619	0.0	27.763	80.421	324.283	793.9	282.705
2126.752	302.531	7.232	0.0	26.327	80.815	323.794	777.748	281.567
2309.827	302.983	6.707	0.0	25.394	80.509	322.781	760.693	280.206
2506.203	303.469	6.333	0.0	25.561	82.176	322.261	742.72	278.745
2716.74	303.99	6.134	0.0	24.595	86.638	322.312	723.818	277.174
2942.265	304.549	5.732	0.0	23.717	88.796	321.776	703.986	275.489
3183.601	305.149	5.319	0.0	24.553	91.121	321.242	683.23	273.682
3441.594	305.792	4.746	0.0	25.764	90.753	320.248	661.567	271.745
3717.102	306.48	4.152	0.0	28.371	89.485	319.215	639.02	269.671
4010.894	307.214	2.986	0.0	30.908	73.367	316.421	615.628	267.452
4323.705	307.999	1.674	0.0	31.17	47.447	313.186	591.443	265.082
4656.747	308.836	1.623	0.0	30.647	53.798	313.927	566.502	262.551
4969.985	309.627	1.349	0.0	27.366	52.02	313.902	543.75	260.159
5152.748	310.091	1.401	0.0	26.534	59.136	314.563	530.76	258.755
5240.321	313.45	2.063	0.0	27.356	73.452	320.08	524.688	260.7
5437.147	314.581	1.98	0.0	30.835	74.347	320.988	511.389	259.728
5797.222	316.102	1.735	0.0	34.239	74.8	321.786	487.719	257.474
6229.474	317.772	1.486	0.0	36.162	76.956	322.713	460.414	254.608
6688.658	319.273	1.255	0.0	38.444	81.155	323.516	432.755	251.322
7175.88	320.756	0.975	0.0	39.901	81.296	324.112	404.849	247.727
7692.458	322.239	0.698	0.0	40.975	77.688	324.688	376.815	243.821
8239.927	323.735	0.482	0.0	41.887	74.415	325.463	348.77	239.6
8819.907	325.06	0.302	0.0	42.688	68.412	326.165	320.836	234.91
9434.222	326.286	0.193	0.0	43.278	68.419	327.012	293.135	229.791
10085.108	327.351	0.118	0.0	42.496	70.399	327.807	265.788	224.179
10775.328	328.282	0.056	0.0	41.298	61.108	328.504	238.912	218.073
11510.057	330.494	0.024	0.0	41.929	47.939	330.593	212.621	212.35
12302.921	338.486	0.01	0.0	43.527	25.95	338.53	187.029	209.659
13198.665	369.021	0.0	0.0	27.37	0.0	369.021	162.236	219.472
14214.121	378.349	0.0	0.0	10.479	0.0	378.349	138.325	214.999
15357.498	397.014	0.0	0.0	23.604	0.0	397.014	115.367	214.205
16707.209	433.793	0.0	0.0	17.416	0.0	433.793	93.417	220.353
18341.748	461.19	0.0	0.0	13.719	0.0	461.19	72.52	217.92
20387.473	498.853	0.0	0.0	15.287	0.0	498.853	52.705	215.173
23221.131	565.739	0.0	0.0	7.783	0.0	565.739	33.989	215.277
