Height	theta	q	u	v
82.8	294.869	11.894	0.0	10.0
86.933	294.879	11.872	0.0	10.138
91.0	294.889	11.863	0.0	10.273
95.067	294.899	11.85	0.0	10.409
99.133	294.909	11.821	0.0	10.544
103.2	294.918	11.807	0.0	10.68
107.267	294.928	11.793	0.0	10.816
111.4	294.938	11.784	0.0	10.953
115.667	294.948	11.77	0.0	11.096
120.067	294.959	11.751	0.0	11.242
124.6	294.97	11.738	0.0	11.393
129.267	294.981	11.725	0.0	11.549
134.0	294.992	11.716	0.0	11.707
138.867	295.004	11.713	0.0	11.869
143.933	295.016	11.71	0.0	12.038
154.533	295.042	11.705	0.0	12.391
160.067	295.055	11.692	0.0	12.576
165.733	295.069	11.68	0.0	12.764
171.467	295.083	11.683	0.0	12.956
177.2	295.096	11.676	0.0	13.147
182.867	295.11	11.664	0.0	13.336
222.929	295.206	11.64	0.0	14.671
228.157	295.219	11.627	0.0	14.845
233.386	295.232	11.617	0.0	15.02
238.643	295.244	11.608	0.0	15.195
243.914	295.257	11.597	0.0	15.37
249.186	295.27	11.588	0.0	15.546
254.471	295.282	11.578	0.0	15.722
259.757	295.295	11.569	0.0	15.899
270.371	295.321	11.553	0.0	16.252
275.714	295.334	11.545	0.0	16.43
281.086	295.346	11.538	0.0	16.61
286.471	295.359	11.531	0.0	16.789
291.886	295.373	11.524	0.0	16.97
297.314	295.386	11.517	0.0	17.15
302.771	295.399	11.51	0.0	17.332
308.257	295.412	11.502	0.0	17.515
313.771	295.425	11.491	0.0	17.699
319.329	295.439	11.485	0.0	17.884
324.9	295.452	11.478	0.0	18.07
330.5	295.466	11.47	0.0	18.257
336.114	295.479	11.463	0.0	18.444
341.729	295.493	11.457	0.0	18.631
352.943	295.52	11.445	0.0	19.005
358.557	295.533	11.439	0.0	19.192
364.171	295.547	11.432	0.0	19.379
369.786	295.56	11.426	0.0	19.566
375.4	295.574	11.418	0.0	19.753
380.986	295.587	11.411	0.0	19.94
386.571	295.601	11.404	0.0	20.126
392.157	295.614	11.397	0.0	20.312
397.757	295.628	11.39	0.0	20.499
403.357	295.641	11.385	0.0	20.545
408.971	295.655	11.376	0.0	20.592
414.586	295.668	11.369	0.0	20.639
420.214	295.682	11.362	0.0	20.686
425.843	295.695	11.353	0.0	20.733
437.071	295.722	11.332	0.0	20.826
442.657	295.736	11.32	0.0	20.873
448.229	295.749	11.31	0.0	20.919
453.786	295.763	11.3	0.0	20.965
459.314	295.776	11.291	0.0	21.012
464.843	295.789	11.283	0.0	21.058
470.357	295.803	11.276	0.0	21.104
475.871	295.816	11.27	0.0	21.15
481.386	295.829	11.264	0.0	21.195
486.886	295.843	11.257	0.0	21.241
492.386	295.856	11.248	0.0	21.287
497.871	295.869	11.243	0.0	21.333
503.357	295.882	11.237	0.0	21.379
508.843	295.896	11.232	0.0	21.424
519.886	295.922	11.222	0.0	21.516
525.443	295.936	11.218	0.0	21.563
531.029	295.949	11.213	0.0	21.609
536.629	295.963	11.207	0.0	21.656
542.257	295.976	11.202	0.0	21.703
547.914	295.99	11.195	0.0	21.75
553.6	296.004	11.192	0.0	21.797
559.3	296.017	11.188	0.0	21.845
565.014	296.031	11.183	0.0	21.892
570.729	296.045	11.179	0.0	21.94
576.457	296.059	11.174	0.0	21.988
582.186	296.073	11.17	0.0	22.035
587.929	296.086	11.168	0.0	22.083
593.686	296.1	11.163	0.0	22.131
605.271	296.128	11.158	0.0	22.228
611.114	296.142	11.157	0.0	22.277
616.986	296.157	11.154	0.0	22.325
622.886	296.171	11.15	0.0	22.375
628.8	296.185	11.145	0.0	22.424
634.7	296.199	11.139	0.0	22.473
640.6	296.214	11.133	0.0	22.522
646.471	296.228	11.129	0.0	22.571
652.329	296.242	11.126	0.0	22.62
658.171	296.256	11.122	0.0	22.669
664.0	296.27	11.116	0.0	22.717
669.814	296.284	11.111	0.0	22.766
675.629	296.298	11.107	0.0	22.814
681.457	296.312	11.104	0.0	22.863
693.157	296.341	11.099	0.0	22.96
699.014	296.355	11.096	0.0	23.009
704.871	296.369	11.093	0.0	23.058
710.729	296.383	11.09	0.0	23.107
716.557	296.397	11.085	0.0	23.155
722.371	296.411	11.081	0.0	23.204
728.171	296.425	11.078	0.0	23.252
733.957	296.439	11.072	0.0	23.3
739.729	296.453	11.068	0.0	23.348
745.486	296.467	11.064	0.0	23.396
751.257	296.481	11.059	0.0	23.444
757.014	296.495	11.055	0.0	23.492
762.786	296.509	11.05	0.0	23.54
768.571	296.523	11.045	0.0	23.589
780.214	296.551	11.034	0.0	23.686
786.043	296.565	11.027	0.0	23.734
791.857	296.579	11.021	0.0	23.783
797.643	296.593	11.016	0.0	23.831
803.414	296.607	11.011	0.0	23.879
809.157	296.621	11.006	0.0	23.927
814.9	296.635	11.0	0.0	23.975
820.643	296.649	10.993	0.0	24.023
826.386	296.663	10.988	0.0	24.07
832.143	296.677	10.982	0.0	24.118
837.914	296.691	10.978	0.0	24.167
843.714	296.705	10.972	0.0	24.215
849.543	296.719	10.967	0.0	24.263
855.4	296.733	10.959	0.0	24.312
867.157	296.761	10.946	0.0	24.41
873.043	296.776	10.939	0.0	24.459
878.929	296.79	10.931	0.0	24.508
884.829	296.804	10.925	0.0	24.558
890.743	296.819	10.919	0.0	24.607
896.686	296.833	10.913	0.0	24.656
902.629	296.847	10.906	0.0	24.706
908.571	296.862	10.898	0.0	24.755
914.486	296.876	10.89	0.0	24.805
920.343	296.89	10.883	0.0	24.853
926.157	296.904	10.875	0.0	24.902
931.9	296.918	10.867	0.0	24.95
937.6	296.932	10.86	0.0	24.997
943.271	296.946	10.853	0.0	25.045
954.5	296.973	10.84	0.0	25.138
960.057	296.986	10.831	0.0	25.184
965.586	297.0	10.823	0.0	25.23
971.1	297.013	10.816	0.0	25.276
976.614	297.026	10.808	0.0	25.322
982.114	297.04	10.802	0.0	25.368
987.614	297.053	10.794	0.0	25.414
993.114	297.066	10.785	0.0	25.46
998.586	297.08	10.776	0.0	25.505
1004.043	297.093	10.765	0.0	25.551
1009.471	297.106	10.755	0.0	25.596
1014.857	297.119	10.744	0.0	25.641
1020.2	297.132	10.734	0.0	25.686
1025.514	297.145	10.725	0.0	25.73
1036.086	297.171	10.708	0.0	25.818
1041.357	297.183	10.7	0.0	25.862
1046.643	297.196	10.69	0.0	25.906
1051.929	297.209	10.68	0.0	25.95
1057.214	297.222	10.672	0.0	25.994
1062.514	297.235	10.662	0.0	26.038
1067.814	297.247	10.652	0.0	26.082
1073.114	297.26	10.641	0.0	26.127
1078.4	297.273	10.63	0.0	26.171
1083.671	297.286	10.619	0.0	26.215
1088.929	297.299	10.607	0.0	26.258
1094.186	297.311	10.596	0.0	26.302
1099.443	297.324	10.585	0.0	26.346
1104.7	297.337	10.575	0.0	26.39
1115.286	297.363	10.554	0.0	26.478
1120.571	297.375	10.544	0.0	26.522
1125.871	297.388	10.533	0.0	26.566
1131.186	297.401	10.522	0.0	26.61
1136.514	297.414	10.511	0.0	26.655
1141.843	297.427	10.5	0.0	26.699
1147.186	297.44	10.489	0.0	26.744
1152.529	297.453	10.479	0.0	26.788
1157.857	297.466	10.468	0.0	26.833
1163.171	297.479	10.458	0.0	26.877
1168.471	297.492	10.448	0.0	26.921
1173.771	297.504	10.437	0.0	26.965
1179.057	297.517	10.426	0.0	27.009
1184.357	297.53	10.413	0.0	27.054
1194.971	297.556	10.387	0.0	27.142
1200.286	297.586	10.376	0.0	27.142
1205.614	297.617	10.365	0.0	27.142
1210.943	297.648	10.353	0.0	27.142
1216.257	297.679	10.342	0.0	27.142
1221.571	297.709	10.33	0.0	27.142
1226.871	297.74	10.32	0.0	27.142
1232.157	297.77	10.309	0.0	27.142
1237.429	297.801	10.3	0.0	27.142
1242.7	297.831	10.288	0.0	27.142
1247.971	297.861	10.276	0.0	27.142
1253.243	297.892	10.264	0.0	27.142
1258.514	297.922	10.251	0.0	27.142
1263.757	297.953	10.233	0.0	27.142
1274.157	298.013	10.197	0.0	27.142
1279.314	298.042	10.178	0.0	27.142
